NODE: 50	 19	 19	 1	 4	 1	 93544646	 1887340691	 4 
NODE: 34	 3	 3	 1	 4	 1	 93544646	 -424710295	 4 
NODE: 23	 11	 11	 1	 4	 1	 93544646	 900873064	 4 
NODE: 17	 33	 33	 1	 4	 1	 93544646	 -877130093	 4 
NODE: 2	 33	 33	 1	 8	 1	 93544646	 1210394476	 4 
NODE: 3	 33	 2	 2	 8	 1	 93544646	 -887873464	 4 
NODE: 3	 2	 0	 255	 9	 0	 93544646	 0	 4 
NODE: 3	 33	 33	 1	 12	 1	 93544646	 -1149821716	 4 
NODE: 3	 2	 0	 255	 9	 0	 93544646	 0	 4 
NODE: 2	 33	 33	 1	 8	 1	 93544646	 1210394476	 4 
NODE: 3	 33	 2	 2	 8	 1	 93544646	 -887873464	 4 
NODE: 3	 2	 0	 255	 9	 0	 93544646	 0	 4 
NODE: 3	 33	 33	 1	 12	 1	 93544646	 -1149821716	 4 
NODE: 3	 2	 0	 255	 9	 0	 93544646	 0	 4 
NODE: 2	 33	 33	 1	 8	 1	 93544646	 1210394476	 4 
NODE: 3	 33	 2	 2	 8	 1	 93544646	 -887873464	 4 
NODE: 3	 2	 0	 255	 9	 0	 93544646	 0	 4 
NODE: 3	 33	 33	 1	 12	 1	 93544646	 -1149821716	 4 
NODE: 3	 2	 0	 255	 9	 0	 93544646	 0	 4 
